depreciation,dereg_value,engine_cap,Age,mileage,no_of_owners,type_of_veh=bus/mini bus,type_of_veh=hatchback,type_of_veh=luxury sedan,type_of_veh=mid-sized sedan,type_of_veh=mpv,type_of_veh=sports car,type_of_veh=stationwagon,type_of_veh=suv,manufacturer=Audi,manufacturer=BMW,manufacturer=Bentley,manufacturer=Chery,manufacturer=Chevrolet,manufacturer=Chrysler,manufacturer=Citroen,manufacturer=Daihatsu,manufacturer=Dodge,manufacturer=Ferrari,manufacturer=Fiat,manufacturer=Ford,manufacturer=Foton,manufacturer=Honda,manufacturer=Hyundai,manufacturer=Infiniti,manufacturer=Jaguar,manufacturer=Jeep,manufacturer=Kia,manufacturer=Lamborghini,manufacturer=Lexus,manufacturer=Lotus,manufacturer=Maserati,manufacturer=Maybach,manufacturer=Mazda,manufacturer=McLaren,manufacturer=Mercedes-Benz,manufacturer=Mini,manufacturer=Mitsubishi,manufacturer=Mitsuoka,manufacturer=Nissan,manufacturer=Opel,manufacturer=Perodua,manufacturer=Peugeot,manufacturer=Porsche,manufacturer=Proton,manufacturer=Renault,manufacturer=Rolls-Royce,manufacturer=Rover,manufacturer=SEAT,manufacturer=Saab,manufacturer=Skoda,manufacturer=Smart,manufacturer=Ssangyong,manufacturer=Subaru,manufacturer=Suzuki,manufacturer=Toyota,manufacturer=Volkswagen,manufacturer=Volvo,price
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class
3.477424078,2.382177866,4.870279141,0.435206117,-1.039117375,-0.653503476,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348900
,,,,,,,,,,,,,,Audi,BMW,Bentley,Chery,Chevrolet,Chrysler,Citroen,Daihatsu,Dodge,Ferrari,Fiat,Ford,Foton,Honda,Hyundai,Infiniti,Jaguar,Jeep,Kia,Lamborghini,Lexus,Lotus,Maserati,Maybach,Mazda,McLaren,Mercedes-Benz,Mini,Mitsubishi,Mitsuoka,Nissan,Opel,Perodua,Peugeot,Porsche,Proton,Renault,Rolls-Royce,Rover,SEAT,Saab,Skoda,Smart,Ssangyong,Subaru,Suzuki,Toyota,Volkswagen,Volvo,
,,,,,,,,,,,,,,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,manufacturer,
,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
,,,,,,,,,,,,,,17,16,20,18,22,21,20,21,18,20,17,17,18,18,20,21,19,17,16,24,18,18,21,20,18,20,26,17,23,21,19,17,20,20,20,19,20,24,18,17,17,18,18,22,19,19,19,23,18,
,,,,,,,,,,,,,,4,3,7,5,9,8,7,8,5,7,4,4,5,5,7,8,6,4,3,11,5,5,8,7,5,7,13,4,10,8,6,4,7,7,7,6,7,11,5,4,4,5,5,9,6,6,6,10,5,
