mean,52770.39832,1988.309817,67966.74175,1.55558406,37103.6482,94143.32547,4.876186828,1271.042415,
std_dev,20327.42149,745.0613451,44829.13744,0.863893405,37785.16478,89566.17011,2.883229426,981.6514266,
,coe,engine_cap,mileage,no_of_owners,omv,price,Age,road_tax,type
,42001,2405,112100,1,20356,27800,8.18630137,1687,sedan
,73100,1596,68000,1,37331,74800,5.126027397,741,sedan
,51010,1997,19000,1,40799,149800,2.273972603,1209,sedan
,44002,1398,5900,1,16325,67800,1.068493151,624,hatchback
,19989,1598,88000,1,12529,17800,8.545205479,742,sedan
,56001,6592,67000,1,317662,498800,7.098630137,8003,sedan
,80001,6592,43000,2,340847,688800,5.369863014,8003,sedan
,65001,1595,75000,1,27454,97800,3.534246575,740,sedan
,53390,1390,148585,1,23512,42800,6.953424658,620,hatchback
,24504,1598,115117,2,16680,26800,8.04109589,742,sedan
,43000,1598,28000,1,17804,77000,2.443835616,742,sedan
,58801,1998,36000,3,33542,106699,2.824657534,1210,sedan
,46489,1597,17000,1,20403,86800,1.123287671,741,sedan
,7490,1984,100630,3,25453,21800,9.194520548,1193,suv
,82289,2354,111000,2,32193,61800,6.115068493,1627,mpv
,74340,1995,108000,1,30343,58800,6.506849315,1206,suv
,43003,1796,132600,4,44571,47800,8.120547945,973,sedan
,43813,1591,131560,2,10492,28800,7.42739726,738,sedan
,67601,1197,82000,1,19795,72800,3.254794521,507,hatchback
,61894,1796,138000,1,53923,61800,7.408219178,973,sedan
,47890,2354,140000,1,31300,41800,7.638356164,1627,mpv
,20395,1399,112688,3,10206,19800,7.909589041,625,hatchback
,7501,2000,67500,2,26727,23000,9.216438356,1212,sedan
,75300,1997,67000,2,38552,107800,4.405479452,1209,suv
,72990,2356,95000,1,29743,89800,3.956164384,1630,mpv
,1020,1598,115000,1,15987,11999,9.539726027,742,sedan
,10989,1348,123000,1,12892,9333,9.756164384,595,hatchback
,58501,1597,102837,2,30319,61800,6.287671233,741,sedan
,54887,1497,118000,4,10739,36800,6.569863014,682,sedan
,75000,2996,25000,2,102899,288800,3.194520548,2380,sedan
,15019,1591,110000,1,10244,13999,8.909589041,738,sedan
,52000,1991,15000,1,42372,176800,1.098630137,1202,suv
,52301,1595,18000,1,26380,99800,2.010958904,740,hatchback
,75000,1991,57000,2,45353,132800,3.175342466,1202,sedan
,55100,1999,13000,1,45440,162800,2.180821918,1211,suv
,64209,1598,107000,1,33404,67800,5.416438356,742,sedan
,74000,1991,67000,1,42793,125800,3.578082192,1202,sedan
,65301,1999,120000,1,20929,67800,3.936986301,1211,sedan
,62140,3993,15000,1,186282,568800,3.019178082,3938,sedan
,82289,2500,67300,1,49007,90800,6.126027397,1799,sedan
,54301,1598,50000,1,16439,66800,2.643835616,742,sedan
,66000,1595,57605,1,22209,92800,3.142465753,740,hatchback
,68103,1997,30000,1,41109,99800,4.246575342,1209,sedan
,57501,1798,22000,1,29466,93699,2.747945205,975,sedan
,50000,1595,11000,1,28886,121800,1.715068493,740,suv
,71000,4608,103000,1,94454,105800,6.457534247,4900,sedan
,76790,4663,47000,1,132462,315800,3.424657534,4986,sedan
,56490,1998,88000,2,27386,49800,7.167123288,1210,sedan
,55001,2497,118000,2,41395,63800,7.361643836,1795,sedan
,86999,1997,104000,1,40523,82800,6.076712329,1209,sedan
,42999,1597,111000,1,30295,56800,7.375342466,741,sedan
,21916,1390,92000,1,21916,52800,6.008219178,620,mpv
,60003,1999,27000,1,60651,158800,2.682191781,1211,suv
,78700,2694,72000,2,26935,90800,4.591780822,2026,suv
,56206,1998,42000,1,35359,139800,1.742465753,1210,suv
,79300,2362,43362,1,39534,93000,4.728767123,1637,mpv
,48002,1499,20000,1,30451,114800,2.446575342,684,sedan
,60002,1591,34915,1,11121,56666,4.282191781,738,sedan
,48112,1497,68103,1,10739,39999,6.284931507,682,sedan
,56500,1991,6000,1,40392,155800,1.849315068,1202,sedan
,55089,1997,43000,1,24198,81800,2.432876712,1209,sedan
,72003,1796,22000,1,56829,144800,3.769863014,973,sedan
,93004,2979,98000,1,76625,129300,5.728767123,2360,sedan
,7589,1497,109752,1,13876,14888,9.276712329,682,sedan
,33089,1598,95632,2,16680,35800,7.471232877,742,sedan
,9889,1496,148799,3,15357,14888,9.252054795,682,mpv
,86889,2362,53031,2,40051,86666,5.764383562,1637,mpv
,62010,1798,90000,2,33555,46800,7.301369863,975,hatchback
,53001,1595,18000,1,37206,143800,1.589041096,740,sedan
,51506,1595,17000,1,28886,121800,1.734246575,740,suv
